Farming implementation started at 2025-03-08 11:04:52
Using XP formula: 20 + (farmingLevel * 5)
Processing silentgear
potted_netherwood_sapling - Farming Level: 0, XP: 20
netherwood_sapling - Farming Level: 0, XP: 20
fluffy_plant - Farming Level: 0, XP: 20
wild_fluffy_plant - Farming Level: 0, XP: 20
flax_plant - Farming Level: 0, XP: 20
wild_flax_plant - Farming Level: 0, XP: 20
hoe_head - Farming Level: 0, XP: 20
fluffy_seeds - Farming Level: 0, XP: 20
fishing_rod - Farming Level: 0, XP: 20
flax_flowers - Farming Level: 0, XP: 20
hoe - Farming Level: 0, XP: 20
hoe_blueprint - Farming Level: 0, XP: 20
fishing_reel_and_hook - Farming Level: 0, XP: 20
fishing_rod_blueprint - Farming Level: 0, XP: 20
hoe_template - Farming Level: 0, XP: 20
netherwood_sapling - Farming Level: 0, XP: 20
flax_seeds - Farming Level: 0, XP: 20
fishing_rod_template - Farming Level: 0, XP: 20
Processing pamhc2crops
pamamaranthcrop - Farming Level: 0, XP: 20
pamartichokecrop - Farming Level: 0, XP: 20
pamcabbagecrop - Farming Level: 0, XP: 20
pamgingercrop - Farming Level: 0, XP: 20
soggygarden - Farming Level: 0, XP: 20
pamlentilcrop - Farming Level: 0, XP: 20
pamsorghumcrop - Farming Level: 0, XP: 20
aridgarden - Farming Level: 0, XP: 20
pamtrufflecrop - Farming Level: 0, XP: 20
pamcalabashcrop - Farming Level: 0, XP: 20
pamtomatillocrop - Farming Level: 0, XP: 20
pamwhitemushroomcrop - Farming Level: 0, XP: 20
pamflaxcrop - Farming Level: 0, XP: 20
pambroccolicrop - Farming Level: 0, XP: 20
pamchiacrop - Farming Level: 0, XP: 20
pamjicamacrop - Farming Level: 0, XP: 20
pamjuniperberrycrop - Farming Level: 0, XP: 20
pamguaranacrop - Farming Level: 0, XP: 20
pamstrawberrycrop - Farming Level: 0, XP: 20
pamleekcrop - Farming Level: 0, XP: 20
pamagavecrop - Farming Level: 0, XP: 20
pamrutabagacrop - Farming Level: 0, XP: 20
pambellpeppercrop - Farming Level: 0, XP: 20
pamwolfberrycrop - Farming Level: 0, XP: 20
pameggplantcrop - Farming Level: 0, XP: 20
pampapyruscrop - Farming Level: 0, XP: 20
pamspinachcrop - Farming Level: 0, XP: 20
pamarrowrootcrop - Farming Level: 0, XP: 20
pamcantaloupecrop - Farming Level: 0, XP: 20
pamkiwicrop - Farming Level: 0, XP: 20
pamquinoacrop - Farming Level: 0, XP: 20
pamzucchinicrop - Farming Level: 0, XP: 20
pambarrelcactuscrop - Farming Level: 0, XP: 20
pamkenafcrop - Farming Level: 0, XP: 20
pamturnipcrop - Farming Level: 0, XP: 20
pamkalecrop - Farming Level: 0, XP: 20
pampeanutcrop - Farming Level: 0, XP: 20
pamjutecrop - Farming Level: 0, XP: 20
pamblueberrycrop - Farming Level: 0, XP: 20
pamcucumbercrop - Farming Level: 0, XP: 20
pamcloudberrycrop - Farming Level: 0, XP: 20
pamnettlescrop - Farming Level: 0, XP: 20
pamcauliflowercrop - Farming Level: 0, XP: 20
pamsisalcrop - Farming Level: 0, XP: 20
pamcanolacrop - Farming Level: 0, XP: 20
pamhuckleberrycrop - Farming Level: 0, XP: 20
pamryecrop - Farming Level: 0, XP: 20
pamlettucecrop - Farming Level: 0, XP: 20
pamgarliccrop - Farming Level: 0, XP: 20
pamchilipeppercrop - Farming Level: 0, XP: 20
pamchickpeacrop - Farming Level: 0, XP: 20
shadedgarden - Farming Level: 0, XP: 20
pamtomatocrop - Farming Level: 0, XP: 20
tropicalgarden - Farming Level: 0, XP: 20
pamcorncrop - Farming Level: 0, XP: 20
pamcattailcrop - Farming Level: 0, XP: 20
pamnopalescrop - Farming Level: 0, XP: 20
pamcoffeebeancrop - Farming Level: 0, XP: 20
pamokracrop - Farming Level: 0, XP: 20
pamlotuscrop - Farming Level: 0, XP: 20
pamgreengrapecrop - Farming Level: 0, XP: 20
pambokchoycrop - Farming Level: 0, XP: 20
pambeancrop - Farming Level: 0, XP: 20
pamasparaguscrop - Farming Level: 0, XP: 20
pammilletcrop - Farming Level: 100, XP: 520
pamyuccacrop - Farming Level: 0, XP: 20
pamrhubarbcrop - Farming Level: 0, XP: 20
pamsweetpotatocrop - Farming Level: 0, XP: 20
pamcandleberrycrop - Farming Level: 0, XP: 20
pamcelerycrop - Farming Level: 0, XP: 20
pamtealeafcrop - Farming Level: 0, XP: 20
pamblackberrycrop - Farming Level: 0, XP: 20
pamoatscrop - Farming Level: 0, XP: 20
pamonioncrop - Farming Level: 0, XP: 20
pamcranberrycrop - Farming Level: 0, XP: 20
pamparsnipcrop - Farming Level: 0, XP: 20
pamwaterchestnutcrop - Farming Level: 0, XP: 20
pamcactusfruitcrop - Farming Level: 0, XP: 20
pamricecrop - Farming Level: 0, XP: 20
pamsunchokecrop - Farming Level: 0, XP: 20
pamcassavacrop - Farming Level: 0, XP: 20
pamkohlrabicrop - Farming Level: 0, XP: 20
pambarleycrop - Farming Level: 0, XP: 20
frostgarden - Farming Level: 0, XP: 20
pamcottoncrop - Farming Level: 0, XP: 20
pamalfalfacrop - Farming Level: 0, XP: 20
pamsesameseedscrop - Farming Level: 0, XP: 20
pamradishcrop - Farming Level: 0, XP: 20
pamgrapecrop - Farming Level: 0, XP: 20
pamwintersquashcrop - Farming Level: 0, XP: 20
pammulberrycrop - Farming Level: 0, XP: 20
pampeascrop - Farming Level: 0, XP: 20
pamaloecrop - Farming Level: 0, XP: 20
windygarden - Farming Level: 0, XP: 20
pamsoybeancrop - Farming Level: 0, XP: 20
pamtarocrop - Farming Level: 0, XP: 20
pamraspberrycrop - Farming Level: 0, XP: 20
pammustardseedscrop - Farming Level: 0, XP: 20
pambrusselsproutcrop - Farming Level: 0, XP: 20
pamspiceleafcrop - Farming Level: 0, XP: 20
pampineapplecrop - Farming Level: 0, XP: 20
pamelderberrycrop - Farming Level: 0, XP: 20
pamscallioncrop - Farming Level: 0, XP: 20
chiaseeditem - Farming Level: 0, XP: 20
kaleseeditem - Farming Level: 0, XP: 20
onionitem - Farming Level: 0, XP: 20
cactusfruitseeditem - Farming Level: 0, XP: 20
celeryseeditem - Farming Level: 0, XP: 20
soybeanseeditem - Farming Level: 0, XP: 20
flaxseeditem - Farming Level: 0, XP: 20
taroseeditem - Farming Level: 0, XP: 20
cassavaseeditem - Farming Level: 0, XP: 20
roastedonionitem - Farming Level: 0, XP: 20
turnipseeditem - Farming Level: 0, XP: 20
radishseeditem - Farming Level: 0, XP: 20
chilipepperseeditem - Farming Level: 0, XP: 20
milletseeditem - Farming Level: 100, XP: 520
coffeebeanseeditem - Farming Level: 0, XP: 20
soybeanitem - Farming Level: 0, XP: 20
bokchoyseeditem - Farming Level: 0, XP: 20
frostgarden - Farming Level: 0, XP: 20
kohlrabiseeditem - Farming Level: 0, XP: 20
whitemushroomseeditem - Farming Level: 0, XP: 20
broccoliseeditem - Farming Level: 0, XP: 20
cranberryseeditem - Farming Level: 0, XP: 20
riceseeditem - Farming Level: 0, XP: 20
eggplantitem - Farming Level: 0, XP: 20
lettuceseeditem - Farming Level: 0, XP: 20
cornseeditem - Farming Level: 0, XP: 20
roastedgarlicitem - Farming Level: 0, XP: 20
mulberryitem - Farming Level: 0, XP: 20
chickpeaseeditem - Farming Level: 0, XP: 20
alfalfaseeditem - Farming Level: 0, XP: 20
cucumberseeditem - Farming Level: 0, XP: 20
brusselsproutitem - Farming Level: 0, XP: 20
artichokeseeditem - Farming Level: 0, XP: 20
blueberryseeditem - Farming Level: 0, XP: 20
cloudberryitem - Farming Level: 0, XP: 20
cornitem - Farming Level: 0, XP: 20
tealeafseeditem - Farming Level: 0, XP: 20
amaranthseeditem - Farming Level: 0, XP: 20
cattailseeditem - Farming Level: 0, XP: 20
riceitem - Farming Level: 0, XP: 20
cabbageseeditem - Farming Level: 0, XP: 20
