Functional Storage adjustment started at 2025-03-08 19:31:57
Task: Adjust technology requirements to range from 0 to 150
functionalstorage processing started
acacia_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
acacia_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
acacia_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
armory_cabinet - Adjusted to tier 5 (tech req: 125, craft XP: 675, break XP: 62.5)
birch_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
birch_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
birch_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
cherry_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
cherry_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
cherry_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
compacting_framed_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
controller_extension - Adjusted to tier 5 (tech req: 125, craft XP: 675, break XP: 62.5)
crimson_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
crimson_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
crimson_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
dark_oak_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
dark_oak_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
dark_oak_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
ender_drawer - Adjusted to tier 2 (tech req: 50, craft XP: 300, break XP: 25)
fluid_1 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
fluid_2 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
fluid_4 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
framed_1 - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
framed_2 - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
framed_4 - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
framed_controller_extension - Adjusted to tier 5 (tech req: 125, craft XP: 675, break XP: 62.5)
framed_fluid_1 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
framed_fluid_2 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
framed_fluid_4 - Adjusted to tier 4 (tech req: 100, craft XP: 550, break XP: 50)
framed_simple_compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
framed_storage_controller - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
jungle_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
jungle_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
jungle_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
mangrove_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
mangrove_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
mangrove_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
oak_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
oak_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
oak_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
simple_compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175, break XP: 12.5)
spruce_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
spruce_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
spruce_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
storage_controller - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
warped_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
warped_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
warped_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50, break XP: 0)
acacia_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
acacia_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
acacia_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
armory_cabinet - Adjusted to tier 5 (tech req: 125, craft XP: 675)
birch_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
birch_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
birch_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
cherry_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
cherry_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
cherry_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
collector_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175)
compacting_framed_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175)
configuration_tool - Adjusted to tier 0 (tech req: 0, craft XP: 50)
controller_extension - Adjusted to tier 5 (tech req: 125, craft XP: 675)
copper_upgrade - Adjusted to tier 1 (tech req: 25, craft XP: 175)
creative_vending_upgrade - Adjusted to tier 6 (tech req: 150, craft XP: 800)
crimson_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
crimson_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
crimson_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
dark_oak_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
dark_oak_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
dark_oak_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
diamond_upgrade - Adjusted to tier 3 (tech req: 75, craft XP: 425)
dripping_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
ender_drawer - Adjusted to tier 2 (tech req: 50, craft XP: 300)
fluid_1 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
fluid_2 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
fluid_4 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
framed_1 - Adjusted to tier 1 (tech req: 25, craft XP: 175)
framed_2 - Adjusted to tier 1 (tech req: 25, craft XP: 175)
framed_4 - Adjusted to tier 1 (tech req: 25, craft XP: 175)
framed_controller_extension - Adjusted to tier 5 (tech req: 125, craft XP: 675)
framed_fluid_1 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
framed_fluid_2 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
framed_fluid_4 - Adjusted to tier 4 (tech req: 100, craft XP: 550)
framed_simple_compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175)
framed_storage_controller - Adjusted to tier 1 (tech req: 25, craft XP: 175)
gold_upgrade - Adjusted to tier 2 (tech req: 50, craft XP: 300)
iron_downgrade - Adjusted to tier 1 (tech req: 25, craft XP: 175)
jungle_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
jungle_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
jungle_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
linking_tool - Adjusted to tier 3 (tech req: 75, craft XP: 425)
mangrove_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
mangrove_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
mangrove_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
max_storage_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
netherite_upgrade - Adjusted to tier 4 (tech req: 100, craft XP: 550)
oak_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
oak_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
oak_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
obsidian_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
puller_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
pusher_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
redstone_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
simple_compacting_drawer - Adjusted to tier 1 (tech req: 25, craft XP: 175)
spruce_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
spruce_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
spruce_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
storage_controller - Adjusted to tier 0 (tech req: 0, craft XP: 50)
void_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
warped_1 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
warped_2 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
warped_4 - Adjusted to tier 0 (tech req: 0, craft XP: 50)
water_generator_upgrade - Adjusted to tier 0 (tech req: 0, craft XP: 50)
Adjustment completed at 2025-03-08 19:31:57
Statistics:
  Blocks adjusted: 49
  Items adjusted: 66
  Total files modified: 115
