Sophisticated Backpacks Mod Technology Adjustments started at 2025-03-17 04:30:19
Found 71 total JSON files to process
Beginning processing of Sophisticated Backpacks mod files...
[backpack] Removed technology requirement from PLACE (original: 0)
[backpack] Removed technology requirement from BREAK (original: 0)
[copper_backpack] Removed technology requirement from PLACE (original: 0)
[copper_backpack] Removed technology requirement from BREAK (original: 0)
[diamond_backpack] Updated PLACE technology requirement: 75 -> 10
[diamond_backpack] Updated BREAK technology requirement: 75 -> 10
[gold_backpack] Updated PLACE technology requirement: 50 -> 6
[gold_backpack] Updated BREAK technology requirement: 50 -> 6
[iron_backpack] Updated PLACE technology requirement: 25 -> 3
[iron_backpack] Updated BREAK technology requirement: 25 -> 3
[netherite_backpack] Updated PLACE technology requirement: 100 -> 15
[netherite_backpack] Updated BREAK technology requirement: 100 -> 15
[advanced_compacting_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_compacting_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_compacting_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_deposit_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_deposit_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_deposit_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_feeding_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_feeding_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_feeding_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_filter_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_filter_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_filter_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_jukebox_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_jukebox_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_jukebox_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_magnet_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_magnet_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_magnet_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_pickup_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_pickup_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_pickup_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_pump_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_pump_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_pump_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_refill_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_refill_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_refill_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_restock_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_restock_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_restock_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_tool_swapper_upgrade] Updated PLACE technology requirement: 135 -> 8
[advanced_tool_swapper_upgrade] Updated WEAR technology requirement: 120 -> 8
[advanced_tool_swapper_upgrade] Updated USE technology requirement: 125 -> 8
[advanced_void_upgrade] Updated PLACE technology requirement: 135 -> 10
[advanced_void_upgrade] Updated WEAR technology requirement: 200 -> 10
[advanced_void_upgrade] Updated USE technology requirement: 125 -> 10
[anvil_upgrade] Removed technology requirement from PLACE (original: 75)
[anvil_upgrade] Removed technology requirement from WEAR (original: 80)
[anvil_upgrade] Removed technology requirement from USE (original: 0)
[auto_blasting_upgrade] Removed technology requirement from PLACE (original: 95)
[auto_blasting_upgrade] Removed technology requirement from WEAR (original: 80)
[auto_blasting_upgrade] Removed technology requirement from USE (original: 0)
[auto_smelting_upgrade] Removed technology requirement from PLACE (original: 95)
[auto_smelting_upgrade] Removed technology requirement from WEAR (original: 120)
[auto_smelting_upgrade] Removed technology requirement from USE (original: 0)
[auto_smoking_upgrade] Removed technology requirement from PLACE (original: 75)
[auto_smoking_upgrade] Removed technology requirement from WEAR (original: 80)
[auto_smoking_upgrade] Removed technology requirement from USE (original: 0)
[backpack] Removed technology requirement from PLACE (original: 75)
[backpack] Removed technology requirement from USE (original: 0)
[battery_upgrade] Updated PLACE technology requirement: 75 -> 8
[battery_upgrade] Updated WEAR technology requirement: 160 -> 8
[battery_upgrade] Updated USE technology requirement: 0 -> 8
[blasting_upgrade] Removed technology requirement from PLACE (original: 95)
[blasting_upgrade] Removed technology requirement from WEAR (original: 80)
[blasting_upgrade] Removed technology requirement from USE (original: 0)
[compacting_upgrade] Updated PLACE technology requirement: 95 -> 7
[compacting_upgrade] Updated WEAR technology requirement: 80 -> 7
[compacting_upgrade] Updated USE technology requirement: 0 -> 7
[copper_backpack] Removed technology requirement from PLACE (original: 75)
[copper_backpack] Removed technology requirement from WEAR (original: 40)
[copper_backpack] Removed technology requirement from USE (original: 0)
[crafting_upgrade] Removed technology requirement from PLACE (original: 95)
[crafting_upgrade] Removed technology requirement from WEAR (original: 200)
[crafting_upgrade] Removed technology requirement from USE (original: 0)
[deposit_upgrade] Updated PLACE technology requirement: 75 -> 6
[deposit_upgrade] Updated WEAR technology requirement: 80 -> 6
[deposit_upgrade] Updated USE technology requirement: 0 -> 6
[diamond_backpack] Updated PLACE technology requirement: 135 -> 10
[diamond_backpack] Updated WEAR technology requirement: 120 -> 10
[diamond_backpack] Updated USE technology requirement: 75 -> 10
[everlasting_upgrade] Updated PLACE technology requirement: 95 -> 13
[everlasting_upgrade] Updated WEAR technology requirement: 120 -> 13
[everlasting_upgrade] Updated USE technology requirement: 0 -> 13
[feeding_upgrade] Updated PLACE technology requirement: 75 -> 6
[feeding_upgrade] Updated WEAR technology requirement: 80 -> 6
[feeding_upgrade] Updated USE technology requirement: 0 -> 6
[filter_upgrade] Removed technology requirement from PLACE (original: 75)
[filter_upgrade] Removed technology requirement from WEAR (original: 120)
[filter_upgrade] Removed technology requirement from USE (original: 0)
[gold_backpack] Updated PLACE technology requirement: 115 -> 6
[gold_backpack] Updated WEAR technology requirement: 80 -> 6
[gold_backpack] Updated USE technology requirement: 50 -> 6
[inception_upgrade] Updated PLACE technology requirement: 75 -> 12
[inception_upgrade] Updated WEAR technology requirement: 160 -> 12
[inception_upgrade] Updated USE technology requirement: 0 -> 12
[infinity_upgrade] Removed technology requirement from PLACE (original: 175)
[infinity_upgrade] Removed technology requirement from WEAR (original: 80)
[infinity_upgrade] Removed technology requirement from USE (original: 0)
[iron_backpack] Updated PLACE technology requirement: 95 -> 3
[iron_backpack] Updated WEAR technology requirement: 40 -> 3
[iron_backpack] Updated USE technology requirement: 25 -> 3
[jukebox_upgrade] Removed technology requirement from PLACE (original: 75)
[jukebox_upgrade] Removed technology requirement from WEAR (original: 80)
[jukebox_upgrade] Removed technology requirement from USE (original: 0)
[magnet_upgrade] Updated PLACE technology requirement: 75 -> 7
[magnet_upgrade] Updated WEAR technology requirement: 120 -> 7
[magnet_upgrade] Updated USE technology requirement: 0 -> 7
[netherite_backpack] Updated PLACE technology requirement: 155 -> 15
[netherite_backpack] Updated WEAR technology requirement: 160 -> 15
[netherite_backpack] Updated USE technology requirement: 100 -> 15
[pickup_upgrade] Updated PLACE technology requirement: 75 -> 5
[pickup_upgrade] Updated WEAR technology requirement: 80 -> 5
[pickup_upgrade] Updated USE technology requirement: 0 -> 5
[pump_upgrade] Removed technology requirement from PLACE (original: 75)
[pump_upgrade] Removed technology requirement from WEAR (original: 80)
[pump_upgrade] Removed technology requirement from USE (original: 0)
[refill_upgrade] Updated PLACE technology requirement: 75 -> 6
[refill_upgrade] Updated WEAR technology requirement: 80 -> 6
[refill_upgrade] Updated USE technology requirement: 0 -> 6
[restock_upgrade] Updated PLACE technology requirement: 75 -> 6
[restock_upgrade] Updated WEAR technology requirement: 80 -> 6
[restock_upgrade] Updated USE technology requirement: 0 -> 6
[smelting_upgrade] Removed technology requirement from PLACE (original: 95)
[smelting_upgrade] Removed technology requirement from WEAR (original: 120)
[smelting_upgrade] Removed technology requirement from USE (original: 0)
[smithing_upgrade] Removed technology requirement from PLACE (original: 75)
[smithing_upgrade] Removed technology requirement from WEAR (original: 80)
[smithing_upgrade] Removed technology requirement from USE (original: 0)
[smoking_upgrade] Removed technology requirement from PLACE (original: 75)
[smoking_upgrade] Removed technology requirement from WEAR (original: 80)
[smoking_upgrade] Removed technology requirement from USE (original: 0)
[stack_downgrade_tier_1] Removed technology requirement from PLACE (original: 75)
[stack_downgrade_tier_1] Removed technology requirement from WEAR (original: 80)
[stack_downgrade_tier_1] Removed technology requirement from USE (original: 0)
[stack_downgrade_tier_2] Removed technology requirement from PLACE (original: 75)
[stack_downgrade_tier_2] Removed technology requirement from WEAR (original: 80)
[stack_downgrade_tier_2] Removed technology requirement from USE (original: 0)
[stack_downgrade_tier_3] Removed technology requirement from PLACE (original: 75)
[stack_downgrade_tier_3] Removed technology requirement from WEAR (original: 80)
[stack_downgrade_tier_3] Removed technology requirement from USE (original: 0)
[stack_upgrade_omega_tier] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_omega_tier] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_omega_tier] Updated USE technology requirement: 125 -> 8
[stack_upgrade_starter_tier] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_starter_tier] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_starter_tier] Updated USE technology requirement: 125 -> 8
[stack_upgrade_tier_1] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_tier_1] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_tier_1] Updated USE technology requirement: 125 -> 8
[stack_upgrade_tier_2] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_tier_2] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_tier_2] Updated USE technology requirement: 125 -> 8
[stack_upgrade_tier_3] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_tier_3] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_tier_3] Updated USE technology requirement: 125 -> 8
[stack_upgrade_tier_4] Updated PLACE technology requirement: 75 -> 8
[stack_upgrade_tier_4] Updated WEAR technology requirement: 80 -> 8
[stack_upgrade_tier_4] Updated USE technology requirement: 125 -> 8
[stonecutter_upgrade] Removed technology requirement from PLACE (original: 75)
[stonecutter_upgrade] Removed technology requirement from WEAR (original: 80)
[stonecutter_upgrade] Removed technology requirement from USE (original: 0)
[survival_infinity_upgrade] Removed technology requirement from PLACE (original: 175)
[survival_infinity_upgrade] Removed technology requirement from WEAR (original: 80)
[survival_infinity_upgrade] Removed technology requirement from USE (original: 0)
[tank_upgrade] Updated PLACE technology requirement: 75 -> 8
[tank_upgrade] Updated WEAR technology requirement: 160 -> 8
[tank_upgrade] Updated USE technology requirement: 0 -> 8
[tool_swapper_upgrade] Updated PLACE technology requirement: 75 -> 5
[tool_swapper_upgrade] Updated WEAR technology requirement: 80 -> 5
[tool_swapper_upgrade] Updated USE technology requirement: 0 -> 5
[upgrade_base] Removed technology requirement from PLACE (original: 75)
[upgrade_base] Removed technology requirement from WEAR (original: 80)
[upgrade_base] Removed technology requirement from USE (original: 0)
[void_upgrade] Updated PLACE technology requirement: 75 -> 10
[void_upgrade] Updated WEAR technology requirement: 200 -> 10
[void_upgrade] Updated USE technology requirement: 0 -> 10
[xp_pump_upgrade] Removed technology requirement from PLACE (original: 75)
[xp_pump_upgrade] Removed technology requirement from WEAR (original: 80)
[xp_pump_upgrade] Removed technology requirement from USE (original: 0)
[alchemy_bench_upgrade] Removed technology requirement from PLACE (original: 80)
[alchemy_bench_upgrade] Removed technology requirement from WEAR (original: 80)
[alchemy_bench_upgrade] Removed technology requirement from INTERACT (original: 80)
[alchemy_bench_upgrade] Removed technology requirement from USE (original: 80)
[botanist_workbench_upgrade] Removed technology requirement from PLACE (original: 80)
[botanist_workbench_upgrade] Removed technology requirement from WEAR (original: 80)
[botanist_workbench_upgrade] Removed technology requirement from INTERACT (original: 80)
[botanist_workbench_upgrade] Removed technology requirement from USE (original: 80)
[carpenters_table_upgrade] Removed technology requirement from PLACE (original: 80)
[carpenters_table_upgrade] Removed technology requirement from WEAR (original: 80)
[carpenters_table_upgrade] Removed technology requirement from INTERACT (original: 80)
[carpenters_table_upgrade] Removed technology requirement from USE (original: 80)
[glassblower_upgrade] Removed technology requirement from PLACE (original: 80)
[glassblower_upgrade] Removed technology requirement from WEAR (original: 80)
[glassblower_upgrade] Removed technology requirement from INTERACT (original: 80)
[glassblower_upgrade] Removed technology requirement from USE (original: 80)
[loom_table_upgrade] Removed technology requirement from PLACE (original: 80)
[loom_table_upgrade] Removed technology requirement from WEAR (original: 80)
[loom_table_upgrade] Removed technology requirement from INTERACT (original: 80)
[loom_table_upgrade] Removed technology requirement from USE (original: 80)
[mason_table_upgrade] Removed technology requirement from PLACE (original: 80)
[mason_table_upgrade] Removed technology requirement from WEAR (original: 80)
[mason_table_upgrade] Removed technology requirement from INTERACT (original: 80)
[mason_table_upgrade] Removed technology requirement from USE (original: 80)
[tinkering_table_upgrade] Removed technology requirement from PLACE (original: 80)
[tinkering_table_upgrade] Removed technology requirement from WEAR (original: 80)
[tinkering_table_upgrade] Removed technology requirement from INTERACT (original: 80)
[tinkering_table_upgrade] Removed technology requirement from USE (original: 80)
