Tech implementation started at 2025-03-08 08:18:10
Processing xycraft_machines (Category: high-tech)
buffer - Tech Level: 200
charger - Tech Level: 200
coagulated_lava - Tech Level: 200
coagulated_water - Tech Level: 200
collector - Tech Level: 200
engineering_table - Tech Level: 200
extractor - Tech Level: 200
fabricator - Tech Level: 200
flare - Tech Level: 200
fluid_selector - Tech Level: 200
fluid_void - Tech Level: 200
hover_pylon - Tech Level: 200
hydro_pump - Tech Level: 200
ignition_plate - Tech Level: 200
illumination_field - Tech Level: 200
isolator - Tech Level: 200
item_io - Tech Level: 200
item_selector - Tech Level: 200
machine_base - Tech Level: 320
nitrogen_extractor - Tech Level: 200
pipe_energy - Tech Level: 200
pipe_fluid - Tech Level: 200
planter - Tech Level: 200
power_core - Tech Level: 200
proto - Tech Level: 200
resin_block - Tech Level: 260
soaryn_box - Tech Level: 200
stake - Tech Level: 200
valve - Tech Level: 200
void_container - Tech Level: 200
water_block - Tech Level: 260
alloy - Tech Level: 200
aluminum_sheet - Tech Level: 200
buffer - Tech Level: 200
charger - Tech Level: 200
cheese - Tech Level: 200
coagulated_lava - Tech Level: 200
coagulated_water - Tech Level: 200
collector - Tech Level: 200
copper_sheet - Tech Level: 200
creative_cell - Tech Level: 500
curds - Tech Level: 200
dough - Tech Level: 200
durable_cell - Tech Level: 200
engineering_table - Tech Level: 200
extractor - Tech Level: 200
fabricator - Tech Level: 200
flare_rod - Tech Level: 200
flare - Tech Level: 200
flatter_dough - Tech Level: 200
flour - Tech Level: 200
fluid_selector - Tech Level: 200
fluid_void - Tech Level: 200
foil - Tech Level: 200
gauntlet_improved - Tech Level: 260
gauntlet_perfected - Tech Level: 500
gauntlet - Tech Level: 200
gold_sheet - Tech Level: 320
hover_pack - Tech Level: 200
hover_pylon - Tech Level: 200
hydro_pump - Tech Level: 200
ice_cream - Tech Level: 200
ignition_plate - Tech Level: 200
illumination_field - Tech Level: 200
incomplete_processor - Tech Level: 380
iron_sheet - Tech Level: 260
isolator - Tech Level: 200
item_io - Tech Level: 200
item_selector - Tech Level: 200
machine_base - Tech Level: 320
module_archon_affinity - Tech Level: 200
module_area_survey - Tech Level: 200
module_auto_smelt - Tech Level: 200
module_bastille - Tech Level: 200
module_efficiency - Tech Level: 200
module_environmental - Tech Level: 260
module_fortune - Tech Level: 200
module_hunter - Tech Level: 200
module_looting - Tech Level: 260
module_mining_mk1 - Tech Level: 200
module_mining_mk2 - Tech Level: 200
module_mining_mk3 - Tech Level: 200
module_movement_speed - Tech Level: 200
module_prospector - Tech Level: 200
module_protection - Tech Level: 200
module_silk_touch - Tech Level: 200
module_snipe - Tech Level: 200
module_step_assist - Tech Level: 200
module_totem_consumer - Tech Level: 200
module_tree_focus - Tech Level: 200
module_tunneler - Tech Level: 200
module_vein_logic - Tech Level: 200
nitrogen_extractor - Tech Level: 200
noodles - Tech Level: 200
pasta - Tech Level: 200
pipe_energy - Tech Level: 200
pipe_fluid - Tech Level: 200
planter - Tech Level: 200
polymer_resin - Tech Level: 200
port_energy - Tech Level: 200
port_fluid - Tech Level: 200
port_item - Tech Level: 200
power_core - Tech Level: 200
proto - Tech Level: 200
resin_ball - Tech Level: 200
